personne_id,auteur_persee_id,idref,auteurlabel,occupationLabel,year_of_birth,year_of_death,sex_or_genderLabel,country_of_citizenshipLabel,educated_atLabel,academic_degreeLabel
http://www.wikidata.org/entity/Q15971863,10598,026809095,Amy Dahan Dalmedico,directeur de recherche au CNRS,2000,????,féminin,France,université Sorbonne Paris Nord,no value
http://www.wikidata.org/entity/Q15971863,10598,026809095,Amy Dahan Dalmedico,directeur de recherche au CNRS,2000,????,féminin,France,université de Nantes,no value
http://www.wikidata.org/entity/Q15971863,10598,026809095,Amy Dahan Dalmedico,historien des sciences,2000,????,féminin,France,université Sorbonne Paris Nord,no value
http://www.wikidata.org/entity/Q15971863,10598,026809095,Amy Dahan Dalmedico,historien des sciences,2000,????,féminin,France,université de Nantes,no value
http://www.wikidata.org/entity/Q15971863,10598,026809095,Amy Dahan Dalmedico,mathématicien,2000,????,féminin,France,université Sorbonne Paris Nord,no value
http://www.wikidata.org/entity/Q15971863,10598,026809095,Amy Dahan Dalmedico,mathématicien,2000,????,féminin,France,université de Nantes,no value
http://www.wikidata.org/entity/Q16266792,57409,08201051X,Tony Levy,historien des mathématiques,1943,????,masculin,France,no value,no value
http://www.wikidata.org/entity/Q16267493,201361,132440148,Jean Gayon,philosophe,1949,2018,masculin,France,no value,no value
http://www.wikidata.org/entity/Q164425,76704,026911817,Jacques Hadamard,mathématicien,1865,1963,masculin,France,lycée Louis-le-Grand,no value
http://www.wikidata.org/entity/Q164425,76704,026911817,Jacques Hadamard,mathématicien,1865,1963,masculin,France,École normale supérieure,no value
http://www.wikidata.org/entity/Q164425,76704,026911817,Jacques Hadamard,professeur,1865,1963,masculin,France,lycée Louis-le-Grand,no value
http://www.wikidata.org/entity/Q164425,76704,026911817,Jacques Hadamard,professeur,1865,1963,masculin,France,École normale supérieure,no value
http://www.wikidata.org/entity/Q16638325,11250,026895765,Gabriel Gohau,géologue,1934,????,masculin,France,faculté des sciences de Paris,no value
http://www.wikidata.org/entity/Q16638325,11250,026895765,Gabriel Gohau,géologue,1934,????,masculin,France,université Jean-Moulin - Lyon-III,no value
http://www.wikidata.org/entity/Q16638325,11250,026895765,Gabriel Gohau,géologue,1934,????,masculin,France,École normale supérieure de Saint-Cloud,no value
http://www.wikidata.org/entity/Q16661306,262525,026842556,Louis Dulieu,historien,1917,2003,masculin,France,faculté de médecine de Montpellier,no value
http://www.wikidata.org/entity/Q16661306,262525,026842556,Louis Dulieu,historien,1917,2003,masculin,France,université de Montpellier,no value
http://www.wikidata.org/entity/Q16661306,262525,026842556,Louis Dulieu,médecin,1917,2003,masculin,France,faculté de médecine de Montpellier,no value
http://www.wikidata.org/entity/Q16661306,262525,026842556,Louis Dulieu,médecin,1917,2003,masculin,France,université de Montpellier,no value
http://www.wikidata.org/entity/Q1678079,386810,027083810,Jacques Proust,historien de la littérature,1926,2005,masculin,France,no value,no value
http://www.wikidata.org/entity/Q1678079,386810,027083810,Jacques Proust,professeur d'université,1926,2005,masculin,France,no value,no value
http://www.wikidata.org/entity/Q1678079,386810,027083810,Jacques Proust,romaniste,1926,2005,masculin,France,no value,no value
http://www.wikidata.org/entity/Q1685587,57331,026931834,Jean Itard,historien des mathématiques,1902,1979,masculin,France,no value,no value
http://www.wikidata.org/entity/Q1685587,57331,026931834,Jean Itard,mathématicien,1902,1979,masculin,France,no value,no value
http://www.wikidata.org/entity/Q1700413,51368,029114942,John L. Heilbron,historien,1934,????,masculin,États-Unis,Lowell High School,no value
http://www.wikidata.org/entity/Q1700413,51368,029114942,John L. Heilbron,historien,1934,????,masculin,États-Unis,université de Californie à Berkeley,no value
http://www.wikidata.org/entity/Q1700413,51368,029114942,John L. Heilbron,professeur d'université,1934,????,masculin,États-Unis,Lowell High School,no value
