auteur_persee_id,auteurlabel
150992,Patricia Radelet-de-Grave
150994,David Speiser
151335,Guy Martin
156100,John W. Herivel
156114,Pierre Noël Mayaud
157466,Georges Roque
157841,Dominique Descotes
157941,Jacques Payen
158274,Jean-Jacques Hémardinquer
158704,François Delaporte
159552,Antonio Lafuente
160519,Pier Daniele Napolitani
160520,Raymond Fredette
160699,Janis Langins
165347,Maggie Rutten
165593,Claude Viel
166091,François Dagognet
166841,Henri Gouhier
167845,Jean Piveteau
167944,Thomas Murphy
168073,Georges Canguilhem
169439,Luce Giard
169877,Pierre-François Moreau
170386,Georges Kersaint
170459,Franck Bourdier
170694,L. Millet
171161,Anastasios Brenner
171409,Patrice Pinet
171902,Brigitte Hoppe
171961,Jacques Guilhaumou
172515,Jean-Marc Mandosio
174588,Ernest Renan
176713,Marc James Ratcliff
177305,Marc Kalinowski
177445,Pietro Corsi
178611,François-G. Lavagne
180204,Jean Torlais
181008,Charles Bedel
181485,Vincent Jullien
195300,François de Dainville
195502,Marcel Destombes
196759,Paul Gille
197441,Roger Laurent
198025,Marcel Florkin
201361,Jean Gayon
202734,Jean-Luc Solere
202917,Michel Blay
204018,Michel Foucault
206279,Pierre Dugac
207907,Patrice Bailhache
212198,Didier Kahn
212568,Joëlle Proust
213679,Vincent Carraud
215046,Fernand Meyer
215048,Jean Seidengart
216983,Giulia Belgioioso
216984,Edouard Mehl
220082,Nicole Hulin
220364,Guy Beaujouan
220817,Bruno Belhoste
221328,Hélène Gispert
221347,Claudette Balpe
223023,Danielle Fauque
223112,Roselyne Rey
227964,Jeanne Peiffer
228359,Mohammed-Allal Sinaceur
228370,Pierre-André Sigal
229476,Barbara Obrist
230408,Annick Horiuchi
230454,Ariane Isler De Jongh
231009,V. Ronchi
231966,Ahmed Djebbar
232285,Philippe Despoix
233579,Michel-Louis Rouquette
233628,Serge Moscovici
233779,Roshdi Rashed
234113,Jean-Marc Drouin
235370,Khalil Jaouiche
236840,Émile Bréhier
237573,Pierre-Maxime Schuhl
237683,Paul Couderc
238262,Emile Namer
238563,Ch Serrus
238564,Claude-Georges Collet
238567,Q. Vetter
238658,Brigitte Chamak
239553,Bertrand Gille
242159,Mirko Drazen Grmek
243889,Jean-François Leroy
244231,Cristina Viano
246472,Joël Biard
246691,Jean Beaujeu
246829,Henry Michel
247382,Michel Federspiel
247412,Hubert Curien
247655,Genevieve Rodis Lewis
247899,A. Kastler
248241,Jean-Yves Guillaumin
248732,Robert Halleux
249458,Jacques Gernet
249881,Frédéric Obringer
249975,Danielle Jacquart
251012,Pierre Lory
251501,Roland Mortier
253735,Karine Chemla
254076,Pierre Chabbert
255990,Claude Cahen
255993,Lucie Lagarde
255994,Pierre Huard
256411,Numa Broc
256457,Claude Hartmann
257575,Henri Duranton
257680,Christophe Charle
262525,Louis Dulieu
262536,Frédéric Faure
263989,Pierre Brunet
264838,José Luis Peset
265562,Jean Boulaine
265704,Jean Dautry
266681,Antonella Romano
267924,Pierre Cuvelier
269040,Maurice Caveing
272234,Jerôme Lamy
273750,Guy Brunet
275336,Daniel Roche
275435,Pierre Louis
275436,Joseph Moreau
275465,Catherine Despeux
276232,Philippe Jansen
276548,Jean Cousin
276734,Anne-Marie Moulin
277521,Armelle Debru
277853,Jacques Lautman
279967,Paul Vignaux
280246,Jean Mesnard
280319,Roger Baron
280883,Paul-Henri Michel
281588,Gilles Gaston Granger
281718,Danielle Gourevitch
283427,Guy Picolet
284407,Henri Hugonnard-Roche
285534,Stéphane Le Gars
285848,Jean-Louis Fischer
286647,Robert Locqueneux
286813,Isabelle Laboulais-Lesage
286815,Thérèse Charmasson
294503,Jean Dieudonné
340993,François Weil
350738,Charles Mugler
351197,Christine Blondel
364038,Hervé L’Huillier
364340,Françoise Parot
364389,Emmanuel Poulle
364417,Germaine Aujac
364680,Jean-Pierre Vernant
