personne_id,auteur_persee_id,idref,auteurlabel,year_of_birth,year_of_death,sex_or_genderLabel
http://www.wikidata.org/entity/Q3035385,29629,028314050,Dominique Pestre,1950,????,masculin
http://www.wikidata.org/entity/Q3035981,29781,032132344,Donald MacKenzie,1950,????,masculin
http://www.wikidata.org/entity/Q3038019,142794,03429211X,Douglas McKie,1896,1967,masculin
http://www.wikidata.org/entity/Q3057207,76588,032010257,Ernest Wickersheimer,1880,1965,masculin
http://www.wikidata.org/entity/Q307,142805,026879255,Galileo Galilei,no value,????,masculin
http://www.wikidata.org/entity/Q3082083,170459,073168203,Franck Bourdier,1910,1985,masculin
http://www.wikidata.org/entity/Q3084343,166091,026808951,François Dagognet,1924,2015,masculin
http://www.wikidata.org/entity/Q3084395,158704,026819066,François Delaporte,1941,2019,masculin
http://www.wikidata.org/entity/Q3084560,57355,029102189,François Ellenberger,1915,2000,masculin
http://www.wikidata.org/entity/Q3085768,79783,no value,François Russo,1909,1998,masculin
http://www.wikidata.org/entity/Q3086175,195300,026809362,François de Dainville,1909,1971,masculin
http://www.wikidata.org/entity/Q3086391,66623,026702266,Françoise Balibar,1941,????,féminin
http://www.wikidata.org/entity/Q3100150,76838,034344284,Henri Berr,1863,1954,masculin
http://www.wikidata.org/entity/Q3100689,247655,027105520,Genevieve Rodis Lewis,1918,2004,féminin
http://www.wikidata.org/entity/Q3102352,76967,032355025,G. Bouligand,1889,1979,masculin
http://www.wikidata.org/entity/Q3106259,281588,026900610,Gilles Gaston Granger,1920,2016,masculin
http://www.wikidata.org/entity/Q3121538,220364,026712423,Guy Beaujouan,1925,2007,masculin
http://www.wikidata.org/entity/Q3124306,10466,027138933,Gerard Simon,1931,2009,masculin
http://www.wikidata.org/entity/Q3134562,54516,028287622,Hervé Le Guyader,1948,????,masculin
http://www.wikidata.org/entity/Q3159556,57339,028258959,Jacques Merleau Ponty,1916,2002,masculin
http://www.wikidata.org/entity/Q3159903,63914,02710592X,Jacques Roger,1920,1990,masculin
http://www.wikidata.org/entity/Q3167430,172515,051642484,Jean-Marc Mandosio,1963,????,masculin
http://www.wikidata.org/entity/Q3168142,54630,030397383,Jean Michel Salanskis,1951,????,masculin
http://www.wikidata.org/entity/Q3168601,82506,027016838,Jean-Paul Mathieu,1907,1993,masculin
http://www.wikidata.org/entity/Q3170725,57300,026722771,Jean Bernhardt,1927,2000,masculin
http://www.wikidata.org/entity/Q3171579,265704,030309344,Jean Dautry,1910,1968,masculin
http://www.wikidata.org/entity/Q3171737,44536,026830302,Jean Dhombres,1942,????,masculin
http://www.wikidata.org/entity/Q3173000,82496,026966271,J. Largeault,1931,1995,masculin
http://www.wikidata.org/entity/Q3173495,280246,027024970,Jean Mesnard,1921,2016,masculin
http://www.wikidata.org/entity/Q3173937,28336,027068846,Jean Petitot,1944,????,masculin
http://www.wikidata.org/entity/Q3174422,57304,02710916X,Jean Rosmorduc,1937,????,masculin
http://www.wikidata.org/entity/Q3174800,55242,027159140,Jean Théodoridès,1926,1999,masculin
http://www.wikidata.org/entity/Q3174814,180204,029246180,Jean Torlais,1897,1964,masculin
http://www.wikidata.org/entity/Q3185381,275436,027037665,Joseph Moreau,1900,1988,masculin
http://www.wikidata.org/entity/Q3187359,246472,026727412,Joël Biard,1952,????,masculin
http://www.wikidata.org/entity/Q319243,29959,no value,Alexandre Koyré,1892,1964,masculin
http://www.wikidata.org/entity/Q3265714,57320,no value,Lucien Scheler,1902,1999,masculin
http://www.wikidata.org/entity/Q3300631,30275,026812894,Maurice Daumas,1910,1984,masculin
http://www.wikidata.org/entity/Q3301278,57352,059443200,Maurice Ponte,1902,1983,masculin
http://www.wikidata.org/entity/Q3302608,76586,031928242,Maxime Laignel-Lavastine,1875,1953,masculin
http://www.wikidata.org/entity/Q3308789,233579,027112144,Michel-Louis Rouquette,1948,2011,masculin
http://www.wikidata.org/entity/Q3309626,57448,030717795,Michel Fichant,1941,????,masculin
http://www.wikidata.org/entity/Q3318996,228359,027139832,Mohammed-Allal Sinaceur,1941,????,masculin
http://www.wikidata.org/entity/Q3350939,82475,026800527,Olivier Costa De Beauregard,1911,2007,masculin
http://www.wikidata.org/entity/Q3370863,49862,026782537,Paul Chauchard,1912,2003,masculin
http://www.wikidata.org/entity/Q3371737,62219,030588278,Paul Levy,1909,1998,masculin
http://www.wikidata.org/entity/Q3371942,76700,033465592,P. Ostoya,1904,1969,masculin
http://www.wikidata.org/entity/Q3372373,279967,027185079,Paul Vignaux,1904,1987,masculin
http://www.wikidata.org/entity/Q3380064,276232,052195929,Philippe Jansen,1956,????,masculin
http://www.wikidata.org/entity/Q3383049,169877,027037819,Pierre-François Moreau,1948,????,masculin
http://www.wikidata.org/entity/Q3383379,237573,027128423,Pierre-Maxime Schuhl,1902,1984,masculin
http://www.wikidata.org/entity/Q3383414,156114,030662974,Pierre Noël Mayaud,1923,2006,masculin
http://www.wikidata.org/entity/Q3384532,57270,026800659,Pierre Costabel,1912,1989,masculin
http://www.wikidata.org/entity/Q3385992,251012,026994887,Pierre Lory,1952,????,masculin
http://www.wikidata.org/entity/Q3435345,248732,026912872,Robert Halleux,1946,????,masculin
http://www.wikidata.org/entity/Q3439073,4619,no value,Roger Hervé,1904,1997,masculin
http://www.wikidata.org/entity/Q3439376,47123,032037724,Roger Portal,1906,1994,masculin
http://www.wikidata.org/entity/Q3440134,29861,033362653,Roland Lamontagne,1921,2011,masculin
http://www.wikidata.org/entity/Q3442614,233779,027090078,Roshdi Rashed,1936,????,masculin
http://www.wikidata.org/entity/Q35151882,388958,060387912,Georges Huard,1887,1962,masculin
http://www.wikidata.org/entity/Q3559521,213679,030393426,Vincent Carraud,1957,????,masculin
http://www.wikidata.org/entity/Q3564326,139671,033482632,Véronique Le Ru,1962,????,féminin
http://www.wikidata.org/entity/Q3573649,142775,075120119,Yves François,1914,2000,masculin
http://www.wikidata.org/entity/Q3588552,142807,032519796,E. Guyénot,1885,1963,masculin
http://www.wikidata.org/entity/Q3590962,56370,033901805,Éric BARATAY,1960,????,masculin
http://www.wikidata.org/entity/Q36022158,77056,031405614,Y. Drieux,1933,????,féminin
http://www.wikidata.org/entity/Q36035296,157941,027061426,Jacques Payen,1931,1993,masculin
http://www.wikidata.org/entity/Q371154,387965,02692921X,Serge Hutin,1927,1997,masculin
http://www.wikidata.org/entity/Q371154,387965,02692921X,Serge Hutin,1929,1997,masculin
http://www.wikidata.org/entity/Q3767965,76428,no value,Giovanni Polvani,1892,1970,masculin
http://www.wikidata.org/entity/Q3897994,280883,027028321,Paul-Henri Michel,1894,1964,masculin
http://www.wikidata.org/entity/Q40727201,10502,027020452,Simone Mazauric,1945,????,féminin
http://www.wikidata.org/entity/Q40892835,364038,026955679,Hervé L’Huillier,1951,????,masculin
http://www.wikidata.org/entity/Q41671403,149135,026677237,Pascal Acot,1942,????,masculin
http://www.wikidata.org/entity/Q41673159,76599,no value,A. Tétry,1907,1992,féminin
http://www.wikidata.org/entity/Q42317897,230408,033571902,Annick Horiuchi,1959,????,féminin
